[18:09:54] === session 2026-08-23 | cap 11ms pipe=0 ===
[18:18:30] [xiii-perf] present=325 captured=297 skipped=28 (cap 11ms pipe=0) | us avg/max: copy=1451/4289 lock=0/1 decode=867/2578 submit=569/2330
[18:18:35] [xiii-perf] present=329 captured=296 skipped=33 (cap 11ms pipe=0) | us avg/max: copy=1491/4391 lock=0/6 decode=860/2596 submit=541/2097
[18:18:40] [xiii-perf] present=329 captured=287 skipped=42 (cap 11ms pipe=0) | us avg/max: copy=1422/5127 lock=0/9 decode=896/2530 submit=518/2761
[18:18:45] [xiii-perf] present=327 captured=299 skipped=28 (cap 11ms pipe=0) | us avg/max: copy=1441/5541 lock=0/9 decode=881/3877 submit=558/2704
[18:18:50] [xiii-perf] present=329 captured=299 skipped=30 (cap 11ms pipe=0) | us avg/max: copy=1516/4986 lock=0/5 decode=866/2772 submit=539/2500
[18:18:55] [xiii-perf] present=330 captured=297 skipped=33 (cap 11ms pipe=0) | us avg/max: copy=1519/5758 lock=0/100 decode=879/2768 submit=499/1807
[18:19:00] [xiii-perf] present=328 captured=302 skipped=26 (cap 11ms pipe=0) | us avg/max: copy=1502/5512 lock=0/3 decode=886/2839 submit=440/1196
[18:19:05] [xiii-perf] present=229 captured=216 skipped=13 (cap 11ms pipe=0) | us avg/max: copy=1564/5454 lock=2/546 decode=885/2711 submit=464/2565
[18:19:10] [xiii-perf] present=125 captured=125 skipped=0 (cap 11ms pipe=0) | us avg/max: copy=1444/4867 lock=0/1 decode=852/1869 submit=419/658
[18:19:15] [xiii-perf] present=126 captured=126 skipped=0 (cap 11ms pipe=0) | us avg/max: copy=972/3225 lock=0/1 decode=779/1030 submit=399/587
[18:19:20] [xiii-perf] present=125 captured=125 skipped=0 (cap 11ms pipe=0) | us avg/max: copy=970/3057 lock=0/1 decode=785/1006 submit=399/625
[18:19:25] [xiii-perf] present=125 captured=125 skipped=0 (cap 11ms pipe=0) | us avg/max: copy=921/3178 lock=0/1 decode=780/978 submit=403/602
[18:19:30] [xiii-perf] present=151 captured=145 skipped=6 (cap 11ms pipe=0) | us avg/max: copy=1231/11837 lock=0/1 decode=901/12050 submit=384/933
[18:19:35] [xiii-perf] present=328 captured=311 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1068/4250 lock=0/2 decode=781/2610 submit=431/1929
[18:19:40] [xiii-perf] present=326 captured=312 skipped=14 (cap 11ms pipe=0) | us avg/max: copy=1034/3727 lock=0/1 decode=779/2129 submit=439/1999
[18:19:45] [xiii-perf] present=328 captured=305 skipped=23 (cap 11ms pipe=0) | us avg/max: copy=1200/3847 lock=0/1 decode=776/2305 submit=415/2063
[18:19:50] [xiii-perf] present=321 captured=306 skipped=15 (cap 11ms pipe=0) | us avg/max: copy=1142/3940 lock=0/2 decode=813/2558 submit=427/1527
